DocumentId,PartnerId,DocumentDate,City,Sales
757677,11287,1/6/2022,TARGU MURES,341
757687,10899,1/7/2022,TARGU MURES,492
757689,8845,1/7/2022,TARGU MURES,646
757699,5943,1/7/2022,ODORHEIU SECUIESC,246
757707,9879,1/7/2022,BUCURESTI SECTORUL 4,167
757710,524,1/7/2022,PIATRA NEAMT,"1,913"
757712,524,1/7/2022,PIATRA NEAMT,173
757721,5485,1/7/2022,POIANA BRASOV,687
757731,461,1/7/2022,ODORHEIU SECUIESC,182
757733,461,1/7/2022,ODORHEIU SECUIESC,182
757741,461,1/7/2022,CLUJ-NAPOCA,182
757744,9106,1/7/2022,BISTRITA,378
757751,9106,1/7/2022,BISTRITA,46
757759,10851,1/7/2022,ZALAU,749
757766,1141,1/7/2022,GHIRODA,"1,065"
757769,11168,1/7/2022,IASI,109
757774,10874,1/7/2022,SIGHETU MARMATIEI,834
757791,12110,1/7/2022,BUCURESTI SECTORUL 3,230
757793,708,1/7/2022,CARANSEBES,500
757797,9751,1/7/2022,TIMISOARA,74
757801,11894,1/7/2022,DUMBRAVITA,400
757807,12108,1/5/2022,PREDEAL,450
757842,9992,1/10/2022,TARGU JIU,111
757848,12111,1/10/2022,BUCURESTI,61
757857,1098,1/10/2022,BUCURESTI SECTORUL 6,257
757863,11119,1/10/2022,ARAD,833
757868,6919,1/10/2022,BRASOV,476
757890,8655,1/10/2022,MIERCUREA CIUC,207
757892,1809,1/10/2022,BRASOV,246
757900,5390,1/10/2022,TARGU MURES,788
757902,8845,1/10/2022,TARGU MURES,431
757904,8845,1/10/2022,TARGU MURES,262
757906,6805,1/10/2022,TARGU MURES,489
757913,6173,1/10/2022,TIMISOARA,742
757915,554,1/10/2022,CRAIOVA,"1,472"
757925,554,1/10/2022,CRAIOVA,"1,105"
757928,554,1/10/2022,ISALNITA,953
757935,11173,1/10/2022,TIMISOARA,499
757937,12075,1/10/2022,CARASOVA,623
757941,4967,1/10/2022,CLUJ NAPOCA,356
757946,11352,1/10/2022,IZVORUL MURESULUI,477
757965,9694,1/10/2022,BIVOLARIA,766
757969,8362,1/10/2022,CARANSEBES,582
757976,8456,1/10/2022,SINAIA,-156
757981,564,1/10/2022,TARGU-MURES,653
757987,10691,1/10/2022,TARGU MURES,"1,794"
757995,5394,1/10/2022,SIGHISOARA,423
758000,9801,1/10/2022,TARGU MURES,323
758006,9690,1/10/2022,TARGU MURES,142
758013,11966,1/10/2022,BACAU,246
758017,9226,1/10/2022,SOVATA,274
758019,6015,1/10/2022,TARGU MURES,"1,111"
758023,8992,1/10/2022,BISTRITA,178
758025,615,1/10/2022,CORUNCA,204
758027,5039,1/10/2022,ODORHEIU SECUIESC,256
758029,977,1/10/2022,VARSAG,"1,612"
758043,11711,1/10/2022,BUZAU,0
758045,316,1/10/2022,TIMISOARA,488
758050,1049,1/10/2022,ZETEA,41
758054,11016,1/10/2022,BRASOV,734
758055,1804,1/10/2022,TIMISOARA,341
758057,11030,1/10/2022,PLOIESTI,403
758058,1804,1/10/2022,TIMISOARA,341
758084,202,1/10/2022,ODORHEIU SECUIESC,160
758090,11325,1/10/2022,BUCURESTI,420
758098,5987,1/10/2022,OTOPENI,386
758103,8565,1/10/2022,PLOIESTI,321
758104,11711,1/10/2022,BUZAU,0
758106,6588,1/10/2022,CRAIOVA,270
758126,8992,1/10/2022,BISTRITA,"3,084"
758131,4518,1/10/2022,TARGU JIU,959
758146,11899,1/10/2022,BRASOV,365
758148,4518,1/10/2022,TARGU JIU,921
758149,11791,1/10/2022,CLUJ-NAPOCA,200
758151,9214,1/10/2022,ODORHEIU SECUIESC,110
758153,10387,1/10/2022,CAMPULUNG,472
758155,882,1/10/2022,TARGU-MURES,573
758164,11010,1/10/2022,BUZIAS,657
758166,1098,1/10/2022,BUCURESTI SECTORUL 6,"2,428"
758168,6011,1/10/2022,IASI,317
758175,9833,1/10/2022,MIERCUREA CIUC,920
758177,6744,1/10/2022,ODORHEIU SECUIESC,273
758179,11614,1/10/2022,ARAD,266
758181,11349,1/10/2022,MIERCUREA NIRAJULUI,69
758183,8005,1/10/2022,SATU MARE,375
758186,11815,1/10/2022,RESITA,267
758199,5324,1/10/2022,ODORHEIU SECUIESC,239
758203,8655,1/10/2022,MIERCUREA CIUC,285
758214,5390,1/10/2022,TARGU MURES,700
758218,4814,1/10/2022,ODORHEIU SECUIESC,632
758221,6050,1/10/2022,ODORHEIU SECUIESC,122
758224,564,1/10/2022,TARGU-MURES,339
758226,10691,1/10/2022,TARGU MURES,359
758230,9676,1/10/2022,MOLDOVA NOUA,"3,013"
758247,8655,1/10/2022,MIERCUREA CIUC,133
