PartnerId,Purchase Frequency,DocumentDate,Sales,Date,RecencyScore,SalesScore,FrequencyScore,Total
1098.0,401.0,2022-12-30,122128.0,1,100.0,100.0,100.0,100.0
8655.0,162.0,2022-12-30,54052.0,1,100.0,44.55087479229792,40.25,61.60029159743264
316.0,161.0,2022-12-30,53168.0,1,100.0,43.83084090835044,40.0,61.276946969450144
6050.0,121.0,2022-12-30,49887.0,1,100.0,41.158407454468446,30.0,57.05280248482281
554.0,119.0,2022-12-30,41478.0,1,100.0,34.30912585931646,29.5,54.60304195310548
4518.0,111.0,2022-12-30,37601.0,1,100.0,31.151239696347698,27.500000000000004,52.88374656544923
162.0,109.0,2022-12-30,32442.0,1,100.0,26.949141498061447,27.0,51.31638049935382
6246.0,99.0,2022-12-30,31367.0,1,100.0,26.073534682175087,24.5,50.191178227391696
11119.0,90.0,2022-12-30,29484.0,1,100.0,24.539797347929497,22.25,48.92993244930983
524.0,83.0,2022-12-30,27471.0,1,100.0,22.900172677809273,20.5,47.80005755926976
780.0,80.0,2022-12-29,26886.0,1,99.7229916897507,22.423679666373438,19.75,47.29889045204138
9080.0,77.0,2022-12-29,25887.0,1,99.7229916897507,21.609976216075328,19.0,46.77765596860868
8456.0,76.0,2022-12-29,25618.0,1,99.7229916897507,21.390870882611672,18.75,46.62128752412079
8191.0,75.0,2022-12-29,24071.0,1,99.7229916897507,20.130811585703583,18.5,46.117934425151425
1106.0,71.0,2022-12-29,23848.0,1,99.7229916897507,19.949174078780178,17.5,45.72405525617696
342.0,70.0,2022-12-29,23503.0,1,99.7229916897507,19.66816537972828,17.25,45.547052356493
12083.0,69.0,2022-12-29,23443.0,1,99.7229916897507,19.619294301632294,17.0,45.447428663794334
6027.0,66.0,2022-12-29,22615.0,1,99.7229916897507,18.944873423907733,16.25,44.97262170455281
11255.0,65.0,2022-12-29,22166.0,1,99.7229916897507,18.579154856156126,16.0,44.76738218196894
6130.0,60.0,2022-12-29,21658.0,1,99.7229916897507,18.165379728276807,14.75,44.212790472675835
6557.0,59.0,2022-12-29,21658.0,1,99.7229916897507,18.165379728276807,14.499999999999998,44.1294571393425
9676.0,58.0,2022-12-29,21340.0,1,99.7229916897507,17.906363014368097,14.249999999999998,43.95978490137293
882.0,58.0,2022-12-29,21228.0,1,99.7229916897507,17.815137001922263,14.249999999999998,43.92937623055766
1809.0,57.0,2022-12-29,19932.0,1,99.7229916897507,16.759521715049033,14.000000000000002,43.49417113493325
1387.0,57.0,2022-12-28,19751.0,1,99.44598337950139,16.61209396279282,14.000000000000002,43.3526924474314
10899.0,57.0,2022-12-28,19630.0,1,99.44598337950139,16.513537288632588,14.000000000000002,43.31984022271133
10771.0,54.0,2022-12-28,19620.0,1,99.44598337950139,16.505392108949923,13.25,43.0671251628171
8362.0,54.0,2022-12-28,19206.0,1,99.44598337950139,16.16818167008764,13.25,42.95472168319634
9593.0,53.0,2022-12-28,18827.0,1,99.44598337950139,15.859479360114683,13.0,42.76848757987202
690.0,52.0,2022-12-28,18434.0,1,99.44598337950139,15.539373798585999,12.75,42.578452392695795
10599.0,49.0,2022-12-28,18383.0,1,99.44598337950139,15.497833382204412,12.0,42.31460558723526
624.0,49.0,2022-12-28,18121.0,1,99.44598337950139,15.284429674518622,12.0,42.243471018006666
8992.0,49.0,2022-12-28,17801.0,1,99.44598337950139,15.023783924673378,12.0,42.15658910139159
