PartnerId,Purchase Frequency
1098,401
8655,162
316,161
6050,121
554,119
4518,111
162,109
6246,99
11119,90
524,83
780,80
9080,77
8456,76
8191,75
1106,71
342,70
12083,69
6027,66
11255,65
6130,60
6557,59
9676,58
882,58
1809,57
1387,57
10899,57
10771,54
8362,54
9593,53
690,52
10599,49
624,49
8992,49
9866,49
7189,48
954,47
12070,46
113,46
7287,46
1141,45
9214,44
11352,44
331,42
4775,41
11966,41
11301,41
1035,41
193,39
12215,39
6727,39
